agent,seed,condition,variant,t_thr_0_5,auc,peak
PPO,0,reward_change,full,2.0,0.4444444444444444,1.0
PPO,1,reward_change,full,,0.0,0.0
PPO,2,reward_change,full,,0.0,0.0
PPO,0,transition_change,full,2.0,1.0,1.0
PPO,1,transition_change,full,2.0,1.0,1.0
PPO,2,transition_change,full,2.0,1.0,1.0
PPO,0,obs_visual,full,2.0,0.8888888888888888,1.0
PPO,1,obs_visual,full,2.0,1.0,1.0
PPO,2,obs_visual,full,2.0,0.6111111111111112,1.0
PPO,0,obs_remap,full,18.0,0.1111111111111111,1.0
PPO,1,obs_remap,full,,0.0,0.0
PPO,2,obs_remap,full,8.0,0.7222222222222222,1.0
SR,0,reward_change,full,45.0,0.18181818181818182,1.0
SR,1,reward_change,full,10.0,0.13636363636363635,1.0
SR,2,reward_change,full,,0.0,0.0
SR,0,reward_change,wonly,,0.0,0.0
SR,1,reward_change,wonly,,0.0,0.0
SR,2,reward_change,wonly,20.0,0.7727272727272727,1.0
SR,0,transition_change,full,15.0,0.4090909090909091,1.0
SR,1,transition_change,full,,0.0,0.0
SR,2,transition_change,full,,0.0,0.0
SR,0,obs_visual,full,15.0,0.09090909090909091,1.0
SR,1,obs_visual,full,10.0,0.09090909090909091,1.0
SR,2,obs_visual,full,50.0,0.09090909090909091,1.0
SR,0,obs_remap,full,,0.0,0.0
SR,1,obs_remap,full,,0.0,0.0
SR,2,obs_remap,full,,0.0,0.0
Replay,0,reward_change,full,30.0,0.22727272727272727,1.0
Replay,1,reward_change,full,15.0,0.5,1.0
Replay,2,reward_change,full,25.0,0.5909090909090909,1.0
Replay,0,transition_change,full,5.0,0.9545454545454546,1.0
Replay,1,transition_change,full,5.0,0.9545454545454546,1.0
Replay,2,transition_change,full,5.0,1.0,1.0
Replay,0,obs_visual,full,5.0,0.9545454545454546,1.0
Replay,1,obs_visual,full,5.0,1.0,1.0
Replay,2,obs_visual,full,5.0,1.0,1.0
Replay,0,obs_remap,full,25.0,0.5909090909090909,1.0
Replay,2,obs_remap,full,,0.0,0.0
