agent,seed,feature_kind,probe_target,metric,score_mean,score_std,feature_dim,n_samples
ppo,0,shared,agent_row,r2,0.8140967607498169,0.09562111284770683,128,122
ppo,0,shared,agent_col,r2,0.7214351654052734,0.21462297405735198,128,122
ppo,0,shared,goal_col,accuracy,0.4743333333333334,0.14118388324766,128,122
ppo,0,shared,manhattan,r2,-1.067924392223358,1.1760491048509922,128,122
ppo,1,shared,agent_row,r2,0.6918164134025574,0.15320453313456417,128,122
ppo,1,shared,agent_col,r2,0.744723629951477,0.18934194722184547,128,122
ppo,1,shared,goal_col,accuracy,0.606,0.059110066824526616,128,122
ppo,1,shared,manhattan,r2,-8.29549424648285,15.261564662898529,128,122
ppo,2,shared,agent_row,r2,0.8738929510116578,0.0472427734987881,128,122
ppo,2,shared,agent_col,r2,0.721224057674408,0.07051165862209023,128,122
ppo,2,shared,goal_col,accuracy,0.688,0.09826494797230598,128,122
ppo,2,shared,manhattan,r2,0.05352884531021118,0.24833965670104294,128,122
sr,0,shared,agent_row,r2,0.6282304048538208,0.1462530995457164,64,122
sr,0,shared,agent_col,r2,-0.05397335290908813,0.6059511145682668,64,122
sr,0,shared,goal_col,accuracy,0.9753333333333334,0.03317294747899929,64,122
sr,0,shared,manhattan,r2,-0.1455112338066101,1.6397144412342841,64,122
sr,1,shared,agent_row,r2,0.8138638496398926,0.08864217529420586,64,122
sr,1,shared,agent_col,r2,-0.759488832950592,2.86400507189562,64,122
sr,1,shared,goal_col,accuracy,0.8526666666666667,0.06128802674439946,64,122
sr,1,shared,manhattan,r2,0.8576911211013794,0.041828780756819284,64,122
sr,2,shared,agent_row,r2,0.5978041887283325,0.2316401442599248,64,122
sr,2,shared,agent_col,r2,0.3630262851715088,0.13119468047113056,64,122
sr,2,shared,goal_col,accuracy,0.984,0.03199999999999998,64,122
sr,2,shared,manhattan,r2,0.796281361579895,0.03848391543432586,64,122
replay,0,shared,agent_row,r2,0.8777613997459411,0.07394988757377143,128,122
replay,0,shared,agent_col,r2,0.8289875268936158,0.09523302244299657,128,122
replay,0,shared,goal_col,accuracy,0.29500000000000004,0.08778762251403478,128,122
replay,0,shared,manhattan,r2,-1.237407350540161,1.0219433048997957,128,122
replay,1,shared,agent_row,r2,0.7371074557304382,0.10580229883989738,128,122
replay,1,shared,agent_col,r2,0.7906553626060486,0.10769453585363935,128,122
replay,1,shared,goal_col,accuracy,0.246,0.036857081333774175,128,122
replay,1,shared,manhattan,r2,-2.8325284004211424,2.636295548907726,128,122
replay,2,shared,agent_row,r2,0.45826622247695925,0.21959498347672898,128,122
replay,2,shared,agent_col,r2,0.4690308928489685,0.10285512879857647,128,122
replay,2,shared,goal_col,accuracy,0.5806666666666666,0.08518346214038393,128,122
replay,2,shared,manhattan,r2,-0.1372168779373169,0.33067350425554937,128,122
sr_ac,0,shared,agent_row,r2,-12.9669788479805,27.516233764694242,64,122
sr_ac,0,shared,agent_col,r2,-45.67605407238007,92.06643807382731,64,122
sr_ac,0,shared,goal_col,accuracy,0.8026666666666668,0.04243426288586461,64,122
sr_ac,0,shared,manhattan,r2,-4.039173185825348,9.214535314656663,64,122
sr_ac,0,action_conditioned,agent_row,r2,-1.0301671624183655,1.7687534261425262,256,122
sr_ac,0,action_conditioned,agent_col,r2,-22.159679675102232,30.524649195678325,256,122
sr_ac,0,action_conditioned,goal_col,accuracy,0.8360000000000001,0.057141150768173304,256,122
sr_ac,0,action_conditioned,manhattan,r2,-8.310449528694154,11.075957146401523,256,122
sr_ac,1,shared,agent_row,r2,0.8143314838409423,0.13702674536743348,64,122
sr_ac,1,shared,agent_col,r2,0.6337503910064697,0.15692915176523614,64,122
sr_ac,1,shared,goal_col,accuracy,0.9179999999999999,0.052211109928826445,64,122
sr_ac,1,shared,manhattan,r2,0.7702041745185852,0.06184291869864498,64,122
sr_ac,1,action_conditioned,agent_row,r2,-1.151601505279541,2.9159599047022806,256,122
sr_ac,1,action_conditioned,agent_col,r2,-2.0764172792434694,2.7214406083021254,256,122
sr_ac,1,action_conditioned,goal_col,accuracy,0.844,0.06975034846587584,256,122
sr_ac,1,action_conditioned,manhattan,r2,-1.0848332643508911,1.865075586466007,256,122
sr_ac,2,shared,agent_row,r2,0.7106357216835022,0.08408354830185054,64,122
sr_ac,2,shared,agent_col,r2,0.7221005201339722,0.1188431312785633,64,122
sr_ac,2,shared,goal_col,accuracy,0.6883333333333334,0.07082843120291929,64,122
sr_ac,2,shared,manhattan,r2,0.2537319421768188,0.1552955092728719,64,122
sr_ac,2,action_conditioned,agent_row,r2,-4.223545837402344,3.411412973646912,256,122
sr_ac,2,action_conditioned,agent_col,r2,-6.568250608444214,8.10359502063381,256,122
sr_ac,2,action_conditioned,goal_col,accuracy,0.6476666666666666,0.0400638379478441,256,122
sr_ac,2,action_conditioned,manhattan,r2,-23.943929576873778,13.789877988494519,256,122
