seed,agent,condition,variant,step,episode_return,episode_steps,loss,eval_success_rate,eval_avg_return,eval_avg_steps
1,replay,transition_change,full,1,-0.4999999888241291,50,0.0,,,
1,replay,transition_change,full,2,-0.4999999888241291,50,0.04243609309196472,,,
1,replay,transition_change,full,3,0.5900000091642141,42,0.01866113767027855,,,
1,replay,transition_change,full,4,0.9100000020116568,10,0.019523531198501587,,,
1,replay,transition_change,full,5,0.7500000055879354,26,0.0001324838522123173,0.0,-0.4999999888241291,50.0
1,replay,transition_change,full,6,0.880000002682209,13,0.01792977936565876,,,
1,replay,transition_change,full,7,0.8900000024586916,12,5.348853665054776e-05,,,
1,replay,transition_change,full,8,0.9100000020116568,10,0.00016500033962074667,,,
1,replay,transition_change,full,9,0.8900000024586916,12,0.00012084125773981214,,,
1,replay,transition_change,full,10,0.8900000024586916,12,0.018114730715751648,1.0,0.9100000020116568,10.0
1,replay,transition_change,full,11,0.9100000020116568,10,0.00018033137894235551,,,
1,replay,transition_change,full,12,0.8900000024586916,12,2.2130254365038127e-05,,,
1,replay,transition_change,full,13,0.9100000020116568,10,0.0001786311622709036,,,
1,replay,transition_change,full,14,0.9100000020116568,10,8.032908954191953e-05,,,
1,replay,transition_change,full,15,0.8900000024586916,12,8.770591375650838e-05,1.0,0.9100000020116568,10.0
1,replay,transition_change,full,16,0.9100000020116568,10,5.998242704663426e-05,,,
1,replay,transition_change,full,17,0.9000000022351742,11,0.0002052452036878094,,,
1,replay,transition_change,full,18,0.9100000020116568,10,0.018099717795848846,,,
1,replay,transition_change,full,19,0.9100000020116568,10,0.00038308402872644365,,,
1,replay,transition_change,full,20,0.8700000029057264,14,0.018206272274255753,1.0,0.9100000020116568,10.0
1,replay,transition_change,full,21,0.9100000020116568,10,0.0001097624481189996,,,
1,replay,transition_change,full,22,0.9100000020116568,10,0.01592775620520115,,,
1,replay,transition_change,full,23,0.9100000020116568,10,9.66956649790518e-05,,,
1,replay,transition_change,full,24,0.8900000024586916,12,9.651843720348552e-05,,,
1,replay,transition_change,full,25,0.9100000020116568,10,0.00012447775225155056,1.0,0.9100000020116568,10.0
1,replay,transition_change,full,26,0.8900000024586916,12,2.2477464881376363e-05,,,
1,replay,transition_change,full,27,0.8900000024586916,12,6.825416494393721e-05,,,
1,replay,transition_change,full,28,0.9100000020116568,10,7.2195443863165565e-06,,,
1,replay,transition_change,full,29,0.9100000020116568,10,0.00014154810924082994,,,
1,replay,transition_change,full,30,0.8700000029057264,14,0.017986547201871872,1.0,0.9100000020116568,10.0
1,replay,transition_change,full,31,0.8900000024586916,12,4.10643988288939e-05,,,
1,replay,transition_change,full,32,0.9100000020116568,10,0.0003837193944491446,,,
1,replay,transition_change,full,33,0.7400000058114529,27,0.02108614519238472,,,
1,replay,transition_change,full,34,0.8700000029057264,14,6.467213097494096e-05,,,
1,replay,transition_change,full,35,0.8900000024586916,12,0.01924775540828705,1.0,0.9100000020116568,10.0
1,replay,transition_change,full,36,0.8900000024586916,12,0.00013415749708656222,,,
