seed,agent,condition,variant,step,episode_return,episode_steps,loss,eval_success_rate,eval_avg_return,eval_avg_steps
1,sr_ac,obs_visual,full,1,-0.4999999888241291,50,0.0,,,
1,sr_ac,obs_visual,full,2,-0.4999999888241291,50,0.02236800454556942,,,
1,sr_ac,obs_visual,full,3,-0.4999999888241291,50,0.022309202700853348,,,
1,sr_ac,obs_visual,full,4,-0.4999999888241291,50,0.017228595912456512,,,
1,sr_ac,obs_visual,full,5,-0.4999999888241291,50,0.02486989088356495,0.0,-0.4999999888241291,50.0
1,sr_ac,obs_visual,full,6,-0.4999999888241291,50,0.02375086583197117,,,
1,sr_ac,obs_visual,full,7,0.8700000029057264,14,0.010811257176101208,,,
1,sr_ac,obs_visual,full,8,0.9100000020116568,10,0.013723760843276978,,,
1,sr_ac,obs_visual,full,9,0.8900000024586916,12,0.02888679690659046,,,
1,sr_ac,obs_visual,full,10,0.8900000024586916,12,0.022313356399536133,1.0,0.9100000020116568,10.0
1,sr_ac,obs_visual,full,11,0.9100000020116568,10,0.009777072817087173,,,
1,sr_ac,obs_visual,full,12,0.9100000020116568,10,0.01754428632557392,,,
1,sr_ac,obs_visual,full,13,0.8900000024586916,12,0.00477704219520092,,,
1,sr_ac,obs_visual,full,14,0.880000002682209,13,0.013871126808226109,,,
1,sr_ac,obs_visual,full,15,0.9100000020116568,10,0.015155309811234474,0.0,-0.4999999888241291,50.0
1,sr_ac,obs_visual,full,16,0.9100000020116568,10,0.01385838259011507,,,
1,sr_ac,obs_visual,full,17,0.8300000037997961,18,0.006707876920700073,,,
1,sr_ac,obs_visual,full,18,0.9100000020116568,10,0.010735124349594116,,,
1,sr_ac,obs_visual,full,19,0.9100000020116568,10,0.02459624409675598,,,
1,sr_ac,obs_visual,full,20,0.9100000020116568,10,0.005043789278715849,0.0,-0.4999999888241291,50.0
1,sr_ac,obs_visual,full,21,0.8900000024586916,12,0.012073632329702377,,,
1,sr_ac,obs_visual,full,22,0.9100000020116568,10,0.0034427503123879433,,,
1,sr_ac,obs_visual,full,23,0.9100000020116568,10,0.0056364284828305244,,,
1,sr_ac,obs_visual,full,24,0.9100000020116568,10,0.003907525911927223,,,
1,sr_ac,obs_visual,full,25,0.9100000020116568,10,0.005404857452958822,0.0,-0.4999999888241291,50.0
1,sr_ac,obs_visual,full,26,0.9100000020116568,10,0.01309899426996708,,,
1,sr_ac,obs_visual,full,27,0.880000002682209,13,0.0038304170593619347,,,
1,sr_ac,obs_visual,full,28,0.8500000033527613,16,0.003453996032476425,,,
1,sr_ac,obs_visual,full,29,0.8600000031292439,15,0.013935103081166744,,,
1,sr_ac,obs_visual,full,30,0.8700000029057264,14,0.004252446815371513,0.0,-0.4999999888241291,50.0
1,sr_ac,obs_visual,full,31,0.8900000024586916,12,0.00391968060284853,,,
1,sr_ac,obs_visual,full,32,0.8900000024586916,12,0.004724622704088688,,,
1,sr_ac,obs_visual,full,33,0.8900000024586916,12,0.00556837348267436,,,
1,sr_ac,obs_visual,full,34,0.9100000020116568,10,0.004002234432846308,,,
1,sr_ac,obs_visual,full,35,0.9100000020116568,10,0.0055031366646289825,0.0,-0.4999999888241291,50.0
1,sr_ac,obs_visual,full,36,0.9100000020116568,10,0.008816263638436794,,,
1,sr_ac,obs_visual,full,37,0.9100000020116568,10,0.009452397003769875,,,
1,sr_ac,obs_visual,full,38,0.9100000020116568,10,0.0037315383087843657,,,
1,sr_ac,obs_visual,full,39,0.8900000024586916,12,0.01026605162769556,,,
1,sr_ac,obs_visual,full,40,0.8900000024586916,12,0.0034034987911581993,0.0,-0.4999999888241291,50.0
1,sr_ac,obs_visual,full,41,0.8900000024586916,12,0.006193344481289387,,,
1,sr_ac,obs_visual,full,42,0.8900000024586916,12,0.005127909127622843,,,
1,sr_ac,obs_visual,full,43,0.8900000024586916,12,0.0028692767955362797,,,
1,sr_ac,obs_visual,full,44,0.9100000020116568,10,0.0032155767548829317,,,
1,sr_ac,obs_visual,full,45,0.9100000020116568,10,0.003073555650189519,0.0,-0.4999999888241291,50.0
1,sr_ac,obs_visual,full,46,0.9100000020116568,10,0.0036520715802907944,,,
1,sr_ac,obs_visual,full,47,0.9100000020116568,10,0.003048608312383294,,,
1,sr_ac,obs_visual,full,48,0.9000000022351742,11,0.00939428061246872,,,
1,sr_ac,obs_visual,full,49,0.8900000024586916,12,0.002885671565309167,,,
1,sr_ac,obs_visual,full,50,-0.4999999888241291,50,0.005339972209185362,0.0,-0.4999999888241291,50.0
1,sr_ac,obs_visual,full,51,-0.4999999888241291,50,0.006416868418455124,,,
1,sr_ac,obs_visual,full,52,-0.4999999888241291,50,0.007561244536191225,,,
1,sr_ac,obs_visual,full,53,-0.4999999888241291,50,0.006224262528121471,,,
1,sr_ac,obs_visual,full,54,0.9100000020116568,10,0.010549619793891907,,,
1,sr_ac,obs_visual,full,55,0.8900000024586916,12,0.012434166856110096,0.0,-0.4999999888241291,50.0
1,sr_ac,obs_visual,full,56,0.8700000029057264,14,0.009172403253614902,,,
1,sr_ac,obs_visual,full,57,0.8500000033527613,16,0.0037516809534281492,,,
1,sr_ac,obs_visual,full,58,0.8500000033527613,16,0.0036589365918189287,,,
1,sr_ac,obs_visual,full,59,-0.4999999888241291,50,0.005483096465468407,,,
1,sr_ac,obs_visual,full,60,0.8100000042468309,20,0.008774050511419773,0.0,-0.4999999888241291,50.0
