seed,episode,global_step,epsilon,episode_return,episode_steps,buffer_size,reward_weights_norm,sr_loss,reward_loss,total_loss,mean_q,margin_loss,mean_q_gap
1,1,50,0.9968333333333333,-0.4999999888241291,50,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,100,0.9936666666666667,-0.4999999888241291,50,100,0.004591674078255892,0.024563908576965332,8.37910411064513e-05,0.024982864037156105,-6.163684884086251e-05,0.0,0.0
1,3,150,0.9905,-0.4999999888241291,50,150,0.03337067738175392,0.006454027723520994,2.067070958844397e-09,0.006454037968069315,-0.01860012300312519,0.0,0.0
1,4,200,0.9873333333333333,-0.4999999888241291,50,200,0.034933846443891525,0.017415182664990425,3.404752035862657e-08,0.017415352165699005,-0.04321788623929024,0.0,0.0
1,5,250,0.9841666666666666,-0.4999999888241291,50,250,0.03562401607632637,0.019373999908566475,9.167142045463095e-10,0.019374003633856773,-0.06518587470054626,0.0,0.0
1,6,300,0.981,-0.4999999888241291,50,300,0.03666174039244652,0.011723730713129044,3.217940358624105e-10,0.011723732575774193,-0.08513475209474564,0.0,0.0
1,7,350,0.9778333333333333,-0.4999999888241291,50,350,0.03660443797707558,0.0012555256253108382,1.616244560409541e-08,0.0012556064175441861,-0.10351449251174927,0.0,0.0
1,8,400,0.9746666666666667,-0.4999999888241291,50,400,0.03754471614956856,0.04982025921344757,1.5589970203677694e-08,0.04982033744454384,-0.10568080842494965,0.0,0.0
1,9,450,0.9715,-0.4999999888241291,50,450,0.036262694746255875,0.03603925183415413,5.94360358263657e-07,0.0360422246158123,-0.09372781217098236,0.0,0.0
1,10,500,0.9683333333333334,-0.4999999888241291,50,500,0.03642156347632408,0.015682537108659744,1.280417194493566e-07,0.01568317785859108,-0.05854456499218941,0.0,0.0
1,11,550,0.9651666666666666,-0.4999999888241291,50,550,0.03726811707019806,0.009126836434006691,8.515510074857957e-08,0.00912726204842329,-0.06491509824991226,0.0,0.0
1,12,600,0.962,-0.4999999888241291,50,600,0.039725515991449356,0.01443883590400219,1.0118747439946674e-07,0.014439341612160206,-0.07488161325454712,0.0,0.0
1,13,650,0.9588333333333333,-0.4999999888241291,50,650,0.04083094745874405,0.019949549809098244,2.904333484821109e-07,0.019951002672314644,-0.07305315136909485,0.0,0.0
1,14,700,0.9556666666666667,-0.4999999888241291,50,700,0.040798138827085495,0.01123849954456091,1.5896758043254522e-07,0.011239293962717056,-0.07722030580043793,0.0,0.0
1,15,750,0.9525,-0.4999999888241291,50,750,0.04162057116627693,0.01807592809200287,4.459398041944951e-07,0.018078157678246498,-0.08965262770652771,0.0,0.0
1,16,800,0.9493333333333334,-0.4999999888241291,50,800,0.04832911491394043,0.01139611005783081,1.0711196409829427e-06,0.011401466093957424,-0.10433106124401093,0.0,0.0
1,17,850,0.9461666666666667,-0.4999999888241291,50,850,0.050920672714710236,0.02091558277606964,1.2343498383415863e-06,0.020921753719449043,-0.11059308052062988,0.0,0.0
1,18,900,0.9430000000000001,-0.4999999888241291,50,900,0.06208670884370804,0.027489446103572845,3.0544645142072113e-06,0.02750471793115139,-0.09654766321182251,0.0,0.0
1,19,950,0.9398333333333333,-0.4999999888241291,50,950,0.062342043966054916,0.018054790794849396,1.5949950693538995e-06,0.018062766641378403,-0.0918121486902237,0.0,0.0
1,20,1000,0.9366666666666666,-0.4999999888241291,50,1000,0.06416404247283936,0.03019942343235016,7.520986287090636e-07,0.030203184112906456,-0.08053488284349442,0.0,0.0
1,21,1050,0.9335,-0.4999999888241291,50,1050,0.06180765479803085,0.010371596552431583,2.1831186813869863e-07,0.010372688062489033,-0.059208355844020844,0.0,0.0
1,22,1100,0.9303333333333333,-0.4999999888241291,50,1100,0.06081676110625267,0.02528504654765129,1.7908472216277005e-07,0.02528594247996807,-0.06528884172439575,0.0,0.0
1,23,1150,0.9271666666666667,-0.4999999888241291,50,1150,0.06011023744940758,0.017380179837346077,5.07279935391125e-07,0.01738271676003933,-0.07528657466173172,0.0,0.0
1,24,1200,0.924,-0.4999999888241291,50,1200,0.06004074960947037,0.012381223030388355,2.933713574293506e-07,0.012382689863443375,-0.08916643261909485,0.0,0.0
1,25,1250,0.9208333333333334,-0.4999999888241291,50,1250,0.05794374272227287,0.02384786494076252,4.972313831785868e-07,0.023850351572036743,-0.08462181687355042,0.0,0.0
1,26,1300,0.9176666666666666,-0.4999999888241291,50,1300,0.057849857956171036,0.015120978467166424,7.886049502303649e-07,0.015124921686947346,-0.08472007513046265,0.0,0.0
1,27,1350,0.9145,-0.4999999888241291,50,1350,0.0568515807390213,0.02276604063808918,6.219581223376736e-07,0.022769151255488396,-0.07825720310211182,0.0,0.0
1,28,1400,0.9113333333333333,-0.4999999888241291,50,1400,0.05680781975388527,0.02223026193678379,1.9132626221107785e-06,0.02223982848227024,-0.07799244672060013,0.0,0.0
1,29,1450,0.9081666666666667,-0.4999999888241291,50,1450,0.06068702042102814,0.013906862586736679,7.657833975827089e-07,0.013910691253840923,-0.07047159224748611,0.0,0.0
1,30,1500,0.905,-0.4999999888241291,50,1500,0.059715595096349716,0.03806532546877861,5.207122626416094e-07,0.038067929446697235,-0.057173654437065125,0.0,0.0
1,31,1550,0.9018333333333334,-0.4999999888241291,50,1550,0.05902609974145889,0.009588212706148624,2.6535437314123556e-07,0.009589539840817451,-0.06468107551336288,0.0,0.0
1,32,1600,0.8986666666666667,-0.4999999888241291,50,1600,0.06004089117050171,0.01693342812359333,4.948115588376822e-07,0.01693590171635151,-0.06225094199180603,0.0,0.0
1,33,1647,0.8955,0.5400000102818012,47,1647,0.06178811937570572,0.024550393223762512,6.39359882370627e-07,0.024553589522838593,-0.05996689200401306,0.0,0.0
1,34,1697,0.8923333333333333,-0.4999999888241291,50,1697,0.06222691759467125,0.014942853711545467,3.897972362665314e-07,0.014944802969694138,-0.06163866072893143,0.0,0.0
1,35,1747,0.8891666666666667,-0.4999999888241291,50,1747,0.0641331821680069,0.014958695508539677,8.839740075927693e-06,0.015002894215285778,-0.05091119930148125,0.0,0.0
