seed,agent,condition,variant,step,episode_return,episode_steps,loss,eval_success_rate,eval_avg_return,eval_avg_steps
2,sr_ac,reward_change,full,1,-0.4999999888241291,50,0.0,,,
2,sr_ac,reward_change,full,2,-0.4999999888241291,50,1.0296494960784912,,,
2,sr_ac,reward_change,full,3,-0.4999999888241291,50,0.01210025418549776,,,
2,sr_ac,reward_change,full,4,-0.4999999888241291,50,0.03630247712135315,,,
2,sr_ac,reward_change,full,5,-0.4999999888241291,50,0.026868339627981186,0.0,-0.4999999888241291,50.0
2,sr_ac,reward_change,full,6,-0.4999999888241291,50,0.023282350972294807,,,
2,sr_ac,reward_change,full,7,-0.4999999888241291,50,0.011315244249999523,,,
2,sr_ac,reward_change,full,8,0.5500000100582838,46,0.02413034997880459,,,
2,sr_ac,reward_change,full,9,0.9600000008940697,5,0.041371122002601624,,,
2,sr_ac,reward_change,full,10,0.8100000042468309,20,0.008862891234457493,0.0,-0.4999999888241291,50.0
2,sr_ac,reward_change,full,11,-0.4999999888241291,50,0.008087915368378162,,,
2,sr_ac,reward_change,full,12,0.7400000058114529,27,0.027453843504190445,,,
2,sr_ac,reward_change,full,13,-0.4999999888241291,50,0.013155713677406311,,,
2,sr_ac,reward_change,full,14,-0.4999999888241291,50,0.01331875380128622,,,
2,sr_ac,reward_change,full,15,0.9600000008940697,5,0.01236269623041153,1.0,0.9600000008940697,5.0
2,sr_ac,reward_change,full,16,-0.4999999888241291,50,0.027513189241290092,,,
2,sr_ac,reward_change,full,17,-0.4999999888241291,50,0.010204078629612923,,,
2,sr_ac,reward_change,full,18,-0.4999999888241291,50,0.007850751280784607,,,
2,sr_ac,reward_change,full,19,-0.4999999888241291,50,0.009570982307195663,,,
2,sr_ac,reward_change,full,20,0.9600000008940697,5,0.021633677184581757,0.0,-0.4999999888241291,50.0
2,sr_ac,reward_change,full,21,0.6200000084936619,39,0.03382750600576401,,,
2,sr_ac,reward_change,full,22,0.9400000013411045,7,0.011146479286253452,,,
2,sr_ac,reward_change,full,23,0.8700000029057264,14,0.008306790143251419,,,
2,sr_ac,reward_change,full,24,0.9600000008940697,5,0.04261106252670288,,,
2,sr_ac,reward_change,full,25,-0.4999999888241291,50,0.029838645830750465,0.0,-0.4999999888241291,50.0
2,sr_ac,reward_change,full,26,-0.4999999888241291,50,0.02953578159213066,,,
2,sr_ac,reward_change,full,27,0.9600000008940697,5,0.015295678749680519,,,
2,sr_ac,reward_change,full,28,0.9600000008940697,5,0.030265668407082558,,,
2,sr_ac,reward_change,full,29,0.9400000013411045,7,0.07153837382793427,,,
2,sr_ac,reward_change,full,30,0.9600000008940697,5,0.012357790023088455,1.0,0.9600000008940697,5.0
2,sr_ac,reward_change,full,31,0.9400000013411045,7,0.015372838824987411,,,
2,sr_ac,reward_change,full,32,0.9600000008940697,5,0.013311735354363918,,,
2,sr_ac,reward_change,full,33,0.9600000008940697,5,0.01343999058008194,,,
2,sr_ac,reward_change,full,34,0.9600000008940697,5,0.03289961442351341,,,
2,sr_ac,reward_change,full,35,0.9600000008940697,5,0.01784718595445156,1.0,0.9600000008940697,5.0
2,sr_ac,reward_change,full,36,0.9600000008940697,5,0.020063642412424088,,,
2,sr_ac,reward_change,full,37,0.9600000008940697,5,0.01671072468161583,,,
2,sr_ac,reward_change,full,38,0.9600000008940697,5,0.016035430133342743,,,
2,sr_ac,reward_change,full,39,0.9600000008940697,5,0.05164887383580208,,,
2,sr_ac,reward_change,full,40,0.9600000008940697,5,0.01531163789331913,1.0,0.9600000008940697,5.0
2,sr_ac,reward_change,full,41,-0.4999999888241291,50,0.016842935234308243,,,
2,sr_ac,reward_change,full,42,0.9600000008940697,5,0.01915348321199417,,,
2,sr_ac,reward_change,full,43,0.9600000008940697,5,0.029513780027627945,,,
2,sr_ac,reward_change,full,44,0.9600000008940697,5,0.017065569758415222,,,
2,sr_ac,reward_change,full,45,0.9600000008940697,5,0.017429962754249573,1.0,0.9600000008940697,5.0
2,sr_ac,reward_change,full,46,0.6600000075995922,35,0.02417355217039585,,,
2,sr_ac,reward_change,full,47,0.9600000008940697,5,0.049756940454244614,,,
2,sr_ac,reward_change,full,48,0.9600000008940697,5,0.02772383950650692,,,
2,sr_ac,reward_change,full,49,0.8300000037997961,18,0.03148921579122543,,,
2,sr_ac,reward_change,full,50,-0.4999999888241291,50,0.03278804197907448,1.0,0.9600000008940697,5.0
2,sr_ac,reward_change,full,51,0.9600000008940697,5,0.02726409211754799,,,
2,sr_ac,reward_change,full,52,-0.4999999888241291,50,0.016325727105140686,,,
2,sr_ac,reward_change,full,53,0.9600000008940697,5,0.048021961003541946,,,
2,sr_ac,reward_change,full,54,0.9600000008940697,5,0.021232394501566887,,,
2,sr_ac,reward_change,full,55,0.9600000008940697,5,0.01872486062347889,1.0,0.9600000008940697,5.0
2,sr_ac,reward_change,full,56,0.8900000024586916,12,0.045613888651132584,,,
2,sr_ac,reward_change,full,57,0.9200000017881393,9,0.029254142194986343,,,
2,sr_ac,reward_change,full,58,0.9600000008940697,5,0.02939675934612751,,,
2,sr_ac,reward_change,full,59,0.9400000013411045,7,0.024366604164242744,,,
2,sr_ac,reward_change,full,60,0.8700000029057264,14,0.023530075326561928,1.0,0.9600000008940697,5.0
