seed,agent,condition,variant,step,episode_return,episode_steps,loss,eval_success_rate,eval_avg_return,eval_avg_steps
1,sr,obs_remap,full,1,-0.4999999888241291,50,0.0,,,
1,sr,obs_remap,full,2,-0.4999999888241291,50,0.20545199513435364,,,
1,sr,obs_remap,full,3,-0.4999999888241291,50,0.003721493761986494,,,
1,sr,obs_remap,full,4,-0.4999999888241291,50,0.00264749675989151,,,
1,sr,obs_remap,full,5,-0.4999999888241291,50,0.0017888760194182396,0.0,-0.4999999888241291,50.0
1,sr,obs_remap,full,6,-0.4999999888241291,50,0.001132036093622446,,,
1,sr,obs_remap,full,7,-0.4999999888241291,50,0.07315535098314285,,,
1,sr,obs_remap,full,8,-0.4999999888241291,50,0.14213299751281738,,,
1,sr,obs_remap,full,9,-0.4999999888241291,50,0.003935645800083876,,,
1,sr,obs_remap,full,10,-0.4999999888241291,50,0.0048757679760456085,0.0,-0.4999999888241291,50.0
1,sr,obs_remap,full,11,-0.4999999888241291,50,0.0021454866509884596,,,
1,sr,obs_remap,full,12,-0.4999999888241291,50,0.0011382894590497017,,,
1,sr,obs_remap,full,13,-0.4999999888241291,50,0.08754990994930267,,,
1,sr,obs_remap,full,14,-0.4999999888241291,50,0.0023511729668825865,,,
1,sr,obs_remap,full,15,-0.4999999888241291,50,0.0011044006096199155,0.0,-0.4999999888241291,50.0
1,sr,obs_remap,full,16,-0.4999999888241291,50,0.0018710390431806445,,,
1,sr,obs_remap,full,17,-0.4999999888241291,50,0.09403788298368454,,,
1,sr,obs_remap,full,18,-0.4999999888241291,50,0.003872924717143178,,,
1,sr,obs_remap,full,19,-0.4999999888241291,50,0.0016196011565625668,,,
1,sr,obs_remap,full,20,-0.4999999888241291,50,0.08149901777505875,0.0,-0.4999999888241291,50.0
1,sr,obs_remap,full,21,-0.4999999888241291,50,0.06952393054962158,,,
1,sr,obs_remap,full,22,-0.4999999888241291,50,0.00329875061288476,,,
1,sr,obs_remap,full,23,-0.4999999888241291,50,0.13619710505008698,,,
1,sr,obs_remap,full,24,-0.4999999888241291,50,0.0034604682587087154,,,
1,sr,obs_remap,full,25,-0.4999999888241291,50,0.06991560012102127,0.0,-0.4999999888241291,50.0
1,sr,obs_remap,full,26,-0.4999999888241291,50,0.07213762402534485,,,
1,sr,obs_remap,full,27,-0.4999999888241291,50,0.0025571915321052074,,,
1,sr,obs_remap,full,28,-0.4999999888241291,50,0.002509876387193799,,,
1,sr,obs_remap,full,29,-0.4999999888241291,50,0.003037520684301853,,,
1,sr,obs_remap,full,30,-0.4999999888241291,50,0.13105808198451996,0.0,-0.4999999888241291,50.0
1,sr,obs_remap,full,31,-0.4999999888241291,50,0.0032624450977891684,,,
1,sr,obs_remap,full,32,-0.4999999888241291,50,0.14322489500045776,,,
1,sr,obs_remap,full,33,0.8700000029057264,14,0.004339638166129589,,,
1,sr,obs_remap,full,34,-0.4999999888241291,50,0.0032402104698121548,,,
1,sr,obs_remap,full,35,-0.4999999888241291,50,0.06437948346138,0.0,-0.4999999888241291,50.0
1,sr,obs_remap,full,36,-0.4999999888241291,50,0.06529615819454193,,,
1,sr,obs_remap,full,37,-0.4999999888241291,50,0.1285957396030426,,,
1,sr,obs_remap,full,38,-0.4999999888241291,50,0.0019006740767508745,,,
1,sr,obs_remap,full,39,-0.4999999888241291,50,0.0026253866963088512,,,
1,sr,obs_remap,full,40,0.5600000098347664,45,0.06782325357198715,0.0,-0.4999999888241291,50.0
1,sr,obs_remap,full,41,-0.4999999888241291,50,0.004545668605715036,,,
1,sr,obs_remap,full,42,-0.4999999888241291,50,0.0024761916138231754,,,
1,sr,obs_remap,full,43,-0.4999999888241291,50,0.002292667282745242,,,
1,sr,obs_remap,full,44,-0.4999999888241291,50,0.002392284106463194,,,
1,sr,obs_remap,full,45,-0.4999999888241291,50,0.0016349114011973143,0.0,-0.4999999888241291,50.0
1,sr,obs_remap,full,46,-0.4999999888241291,50,0.07648106664419174,,,
1,sr,obs_remap,full,47,-0.4999999888241291,50,0.5479841232299805,,,
1,sr,obs_remap,full,48,-0.4999999888241291,50,0.06629791855812073,,,
1,sr,obs_remap,full,49,-0.4999999888241291,50,0.0025400142185389996,,,
1,sr,obs_remap,full,50,-0.4999999888241291,50,0.0045922910794615746,0.0,-0.4999999888241291,50.0
1,sr,obs_remap,full,51,0.6800000071525574,33,0.002458749571815133,,,
1,sr,obs_remap,full,52,-0.4999999888241291,50,0.003558145137503743,,,
1,sr,obs_remap,full,53,-0.4999999888241291,50,0.0023447424173355103,,,
1,sr,obs_remap,full,54,-0.4999999888241291,50,0.0047376155853271484,,,
1,sr,obs_remap,full,55,-0.4999999888241291,50,0.14519187808036804,0.0,-0.4999999888241291,50.0
1,sr,obs_remap,full,56,-0.4999999888241291,50,0.0015601951163262129,,,
1,sr,obs_remap,full,57,-0.4999999888241291,50,0.0022766110487282276,,,
1,sr,obs_remap,full,58,-0.4999999888241291,50,0.08281289786100388,,,
1,sr,obs_remap,full,59,-0.4999999888241291,50,0.08234741538763046,,,
1,sr,obs_remap,full,60,0.8200000040233135,19,0.004397062584757805,0.0,-0.4999999888241291,50.0
