seed,agent,condition,variant,step,episode_return,episode_steps,loss,eval_success_rate,eval_avg_return,eval_avg_steps
1,sr,reward_change,full,1,-0.4999999888241291,50,0.0,,,
1,sr,reward_change,full,2,-0.4999999888241291,50,0.06465131789445877,,,
1,sr,reward_change,full,3,0.6300000082701445,38,0.9533743262290955,,,
1,sr,reward_change,full,4,-0.4999999888241291,50,0.006802834570407867,,,
1,sr,reward_change,full,5,-0.4999999888241291,50,0.18071269989013672,0.0,-0.4999999888241291,50.0
1,sr,reward_change,full,6,-0.4999999888241291,50,0.16419219970703125,,,
1,sr,reward_change,full,7,-0.4999999888241291,50,0.014403242617845535,,,
1,sr,reward_change,full,8,-0.4999999888241291,50,0.01200894545763731,,,
1,sr,reward_change,full,9,-0.4999999888241291,50,0.011811411008238792,,,
1,sr,reward_change,full,10,-0.4999999888241291,50,0.08048125356435776,1.0,0.9600000008940697,5.0
1,sr,reward_change,full,11,0.8000000044703484,21,0.12054373323917389,,,
1,sr,reward_change,full,12,-0.4999999888241291,50,0.19515730440616608,,,
1,sr,reward_change,full,13,-0.4999999888241291,50,0.06059025600552559,,,
1,sr,reward_change,full,14,-0.4999999888241291,50,0.011523127555847168,,,
1,sr,reward_change,full,15,-0.4999999888241291,50,0.0849476158618927,0.0,-0.4999999888241291,50.0
1,sr,reward_change,full,16,-0.4999999888241291,50,0.014936805702745914,,,
1,sr,reward_change,full,17,-0.4999999888241291,50,0.018945958465337753,,,
1,sr,reward_change,full,18,-0.4999999888241291,50,0.009252015501260757,,,
1,sr,reward_change,full,19,-0.4999999888241291,50,0.007403697818517685,,,
1,sr,reward_change,full,20,-0.4999999888241291,50,0.009041376411914825,0.0,-0.4999999888241291,50.0
1,sr,reward_change,full,21,-0.4999999888241291,50,0.010499523021280766,,,
1,sr,reward_change,full,22,-0.4999999888241291,50,0.022800922393798828,,,
1,sr,reward_change,full,23,-0.4999999888241291,50,0.06575104594230652,,,
1,sr,reward_change,full,24,-0.4999999888241291,50,0.011795115657150745,,,
1,sr,reward_change,full,25,-0.4999999888241291,50,0.012353756465017796,0.0,-0.4999999888241291,50.0
1,sr,reward_change,full,26,-0.4999999888241291,50,0.06900987774133682,,,
1,sr,reward_change,full,27,-0.4999999888241291,50,0.008583340793848038,,,
1,sr,reward_change,full,28,-0.4999999888241291,50,0.00586794363334775,,,
1,sr,reward_change,full,29,-0.4999999888241291,50,0.06204986199736595,,,
1,sr,reward_change,full,30,-0.4999999888241291,50,0.007241172716021538,0.0,-0.4999999888241291,50.0
1,sr,reward_change,full,31,-0.4999999888241291,50,0.006676575634628534,,,
1,sr,reward_change,full,32,-0.4999999888241291,50,0.007454680744558573,,,
1,sr,reward_change,full,33,-0.4999999888241291,50,0.004567638039588928,,,
1,sr,reward_change,full,34,-0.4999999888241291,50,0.005602115299552679,,,
1,sr,reward_change,full,35,-0.4999999888241291,50,0.09721952676773071,0.0,-0.4999999888241291,50.0
1,sr,reward_change,full,36,-0.4999999888241291,50,0.21859385073184967,,,
1,sr,reward_change,full,37,-0.4999999888241291,50,0.08267869800329208,,,
1,sr,reward_change,full,38,-0.4999999888241291,50,0.0063276104629039764,,,
1,sr,reward_change,full,39,-0.4999999888241291,50,0.07131268829107285,,,
1,sr,reward_change,full,40,-0.4999999888241291,50,0.08913502842187881,0.0,-0.4999999888241291,50.0
1,sr,reward_change,full,41,-0.4999999888241291,50,0.005131671205163002,,,
1,sr,reward_change,full,42,-0.4999999888241291,50,0.004889016505330801,,,
1,sr,reward_change,full,43,-0.4999999888241291,50,0.07446517050266266,,,
1,sr,reward_change,full,44,-0.4999999888241291,50,0.08183886110782623,,,
1,sr,reward_change,full,45,-0.4999999888241291,50,0.08404063433408737,0.0,-0.4999999888241291,50.0
1,sr,reward_change,full,46,-0.4999999888241291,50,0.008527119643986225,,,
1,sr,reward_change,full,47,-0.4999999888241291,50,0.005325419828295708,,,
1,sr,reward_change,full,48,-0.4999999888241291,50,0.5926410555839539,,,
1,sr,reward_change,full,49,-0.4999999888241291,50,0.010909488424658775,,,
1,sr,reward_change,full,50,-0.4999999888241291,50,0.07103130966424942,0.0,-0.4999999888241291,50.0
1,sr,reward_change,full,51,-0.4999999888241291,50,0.006848236545920372,,,
1,sr,reward_change,full,52,-0.4999999888241291,50,0.007044269237667322,,,
1,sr,reward_change,full,53,-0.4999999888241291,50,0.08191469311714172,,,
1,sr,reward_change,full,54,-0.4999999888241291,50,0.08991070836782455,,,
1,sr,reward_change,full,55,-0.4999999888241291,50,0.005669990088790655,0.0,-0.4999999888241291,50.0
1,sr,reward_change,full,56,0.9400000013411045,7,0.014163682237267494,,,
1,sr,reward_change,full,57,-0.4999999888241291,50,0.08656474947929382,,,
1,sr,reward_change,full,58,-0.4999999888241291,50,0.012371154502034187,,,
1,sr,reward_change,full,59,-0.4999999888241291,50,0.007322103250771761,,,
1,sr,reward_change,full,60,-0.4999999888241291,50,0.07245611399412155,1.0,0.9600000008940697,5.0
