seed,agent,condition,variant,step,episode_return,episode_steps,loss,eval_success_rate,eval_avg_return,eval_avg_steps
1,sr,reward_change,wonly_qmargin,1,-0.4999999888241291,50,0.0,,,
1,sr,reward_change,wonly_qmargin,2,-0.4999999888241291,50,1.329571688302167e-07,,,
1,sr,reward_change,wonly_qmargin,3,-0.4999999888241291,50,3.898735911889162e-08,,,
1,sr,reward_change,wonly_qmargin,4,-0.4999999888241291,50,1.0595442745398032e-08,,,
1,sr,reward_change,wonly_qmargin,5,-0.4999999888241291,50,1.2698532225741133e-09,0.0,-0.4999999888241291,50.0
1,sr,reward_change,wonly_qmargin,6,-0.4999999888241291,50,2.9071594020990688e-09,,,
1,sr,reward_change,wonly_qmargin,7,-0.4999999888241291,50,1.8385253319763706e-09,,,
1,sr,reward_change,wonly_qmargin,8,-0.4999999888241291,50,4.85015416717971e-10,,,
1,sr,reward_change,wonly_qmargin,9,-0.4999999888241291,50,3.028686190731378e-10,,,
1,sr,reward_change,wonly_qmargin,10,-0.4999999888241291,50,5.016035364846516e-10,0.0,-0.4999999888241291,50.0
1,sr,reward_change,wonly_qmargin,11,-0.4999999888241291,50,1.2928100812104049e-09,,,
1,sr,reward_change,wonly_qmargin,12,-0.4999999888241291,50,4.709499457078437e-10,,,
1,sr,reward_change,wonly_qmargin,13,-0.4999999888241291,50,5.355449275157298e-07,,,
1,sr,reward_change,wonly_qmargin,14,-0.4999999888241291,50,1.5191043090112544e-08,,,
1,sr,reward_change,wonly_qmargin,15,-0.4999999888241291,50,6.3135513483914e-10,0.0,-0.4999999888241291,50.0
1,sr,reward_change,wonly_qmargin,16,-0.4999999888241291,50,1.9595969291685833e-09,,,
1,sr,reward_change,wonly_qmargin,17,-0.4999999888241291,50,2.707137847224317e-10,,,
1,sr,reward_change,wonly_qmargin,18,-0.4999999888241291,50,1.2920553515982647e-08,,,
1,sr,reward_change,wonly_qmargin,19,-0.4999999888241291,50,1.0138871964215923e-09,,,
1,sr,reward_change,wonly_qmargin,20,-0.4999999888241291,50,3.3616123773505535e-10,0.0,-0.4999999888241291,50.0
1,sr,reward_change,wonly_qmargin,21,-0.4999999888241291,50,1.3821424005300287e-09,,,
1,sr,reward_change,wonly_qmargin,22,-0.4999999888241291,50,5.945738901225184e-10,,,
1,sr,reward_change,wonly_qmargin,23,-0.4999999888241291,50,4.5343021004562445e-10,,,
1,sr,reward_change,wonly_qmargin,24,-0.4999999888241291,50,1.7844332678151886e-09,,,
1,sr,reward_change,wonly_qmargin,25,-0.4999999888241291,50,9.923000615641442e-11,0.0,-0.4999999888241291,50.0
1,sr,reward_change,wonly_qmargin,26,-0.4999999888241291,50,1.992779205539641e-11,,,
1,sr,reward_change,wonly_qmargin,27,-0.4999999888241291,50,5.743949760272926e-11,,,
1,sr,reward_change,wonly_qmargin,28,-0.4999999888241291,50,3.752546273716462e-09,,,
1,sr,reward_change,wonly_qmargin,29,-0.4999999888241291,50,5.289841897848646e-10,,,
1,sr,reward_change,wonly_qmargin,30,-0.4999999888241291,50,3.667881623425906e-11,0.0,-0.4999999888241291,50.0
1,sr,reward_change,wonly_qmargin,31,-0.4999999888241291,50,2.8156986076055546e-08,,,
