seed,agent,condition,variant,step,episode_return,episode_steps,loss,eval_success_rate,eval_avg_return,eval_avg_steps
2,sr,obs_visual,full,1,-0.4999999888241291,50,0.0,,,
2,sr,obs_visual,full,2,-0.4999999888241291,50,0.010427312925457954,,,
2,sr,obs_visual,full,3,-0.4999999888241291,50,0.006292812526226044,,,
2,sr,obs_visual,full,4,-0.4999999888241291,50,0.07877689599990845,,,
2,sr,obs_visual,full,5,-0.4999999888241291,50,0.08434070646762848,0.0,-0.4999999888241291,50.0
2,sr,obs_visual,full,6,-0.4999999888241291,50,0.0051140738651156425,,,
2,sr,obs_visual,full,7,0.6300000082701445,38,0.00875079445540905,,,
2,sr,obs_visual,full,8,-0.4999999888241291,50,0.018110495060682297,,,
2,sr,obs_visual,full,9,-0.4999999888241291,50,0.10864848643541336,,,
2,sr,obs_visual,full,10,-0.4999999888241291,50,0.13943041861057281,0.0,-0.4999999888241291,50.0
2,sr,obs_visual,full,11,0.5300000105053186,48,0.031794656068086624,,,
2,sr,obs_visual,full,12,-0.4999999888241291,50,0.029896806925535202,,,
2,sr,obs_visual,full,13,-0.4999999888241291,50,0.60187166929245,,,
2,sr,obs_visual,full,14,-0.4999999888241291,50,0.09065072983503342,,,
2,sr,obs_visual,full,15,-0.4999999888241291,50,0.009914468042552471,0.0,-0.4999999888241291,50.0
2,sr,obs_visual,full,16,-0.4999999888241291,50,0.04768688976764679,,,
2,sr,obs_visual,full,17,-0.4999999888241291,50,0.006973645184189081,,,
2,sr,obs_visual,full,18,-0.4999999888241291,50,0.060615476220846176,,,
2,sr,obs_visual,full,19,-0.4999999888241291,50,0.06517276912927628,,,
2,sr,obs_visual,full,20,-0.4999999888241291,50,0.011297046206891537,0.0,-0.4999999888241291,50.0
2,sr,obs_visual,full,21,-0.4999999888241291,50,0.07065847516059875,,,
2,sr,obs_visual,full,22,-0.4999999888241291,50,0.004534774925559759,,,
2,sr,obs_visual,full,23,0.7400000058114529,27,0.06915375590324402,,,
2,sr,obs_visual,full,24,-0.4999999888241291,50,0.011595845222473145,,,
2,sr,obs_visual,full,25,-0.4999999888241291,50,0.010052105411887169,0.0,-0.4999999888241291,50.0
2,sr,obs_visual,full,26,-0.4999999888241291,50,0.008538122288882732,,,
2,sr,obs_visual,full,27,-0.4999999888241291,50,0.014075775630772114,,,
2,sr,obs_visual,full,28,-0.4999999888241291,50,0.007119178306311369,,,
2,sr,obs_visual,full,29,-0.4999999888241291,50,0.006333718542009592,,,
2,sr,obs_visual,full,30,-0.4999999888241291,50,0.004184806253761053,0.0,-0.4999999888241291,50.0
2,sr,obs_visual,full,31,-0.4999999888241291,50,0.0763043537735939,,,
2,sr,obs_visual,full,32,-0.4999999888241291,50,0.10073348879814148,,,
2,sr,obs_visual,full,33,-0.4999999888241291,50,0.006512882653623819,,,
2,sr,obs_visual,full,34,0.5600000098347664,45,0.059157270938158035,,,
2,sr,obs_visual,full,35,-0.4999999888241291,50,0.07070192694664001,0.0,-0.4999999888241291,50.0
2,sr,obs_visual,full,36,-0.4999999888241291,50,0.010607153177261353,,,
2,sr,obs_visual,full,37,-0.4999999888241291,50,0.010977412573993206,,,
2,sr,obs_visual,full,38,-0.4999999888241291,50,0.00723892729729414,,,
2,sr,obs_visual,full,39,-0.4999999888241291,50,0.009539706632494926,,,
2,sr,obs_visual,full,40,0.6100000087171793,40,0.05116567388176918,0.0,-0.4999999888241291,50.0
2,sr,obs_visual,full,41,0.760000005364418,25,0.008641202002763748,,,
2,sr,obs_visual,full,42,0.8100000042468309,20,0.00840284675359726,,,
2,sr,obs_visual,full,43,-0.4999999888241291,50,0.006850714795291424,,,
2,sr,obs_visual,full,44,-0.4999999888241291,50,0.10531152039766312,,,
2,sr,obs_visual,full,45,-0.4999999888241291,50,0.6660191416740417,0.0,-0.4999999888241291,50.0
2,sr,obs_visual,full,46,-0.4999999888241291,50,0.6197727918624878,,,
2,sr,obs_visual,full,47,0.7500000055879354,26,0.048661310225725174,,,
2,sr,obs_visual,full,48,-0.4999999888241291,50,0.06335543841123581,,,
2,sr,obs_visual,full,49,-0.4999999888241291,50,0.07834552228450775,,,
2,sr,obs_visual,full,50,0.7400000058114529,27,0.012768076732754707,1.0,0.8900000024586916,12.0
2,sr,obs_visual,full,51,0.69000000692904,32,0.009893557988107204,,,
2,sr,obs_visual,full,52,-0.4999999888241291,50,1.2734915018081665,,,
2,sr,obs_visual,full,53,-0.4999999888241291,50,0.013357906602323055,,,
2,sr,obs_visual,full,54,-0.4999999888241291,50,0.008408859372138977,,,
2,sr,obs_visual,full,55,-0.4999999888241291,50,0.016533084213733673,0.0,-0.4999999888241291,50.0
2,sr,obs_visual,full,56,-0.4999999888241291,50,0.011429475620388985,,,
2,sr,obs_visual,full,57,-0.4999999888241291,50,0.07320675998926163,,,
2,sr,obs_visual,full,58,-0.4999999888241291,50,0.019362520426511765,,,
2,sr,obs_visual,full,59,-0.4999999888241291,50,0.014024901203811169,,,
2,sr,obs_visual,full,60,-0.4999999888241291,50,0.07310999929904938,0.0,-0.4999999888241291,50.0
