run,condition,auc_mean,auc_std,t_thr_med,end_mean,end_std,peak_mean
PPO baseline,obs_remap,0.27777777777777773,0.3888888888888889,13.0,0.5555555555555555,0.5091750772173156,0.6666666666666666
PPO baseline,obs_visual,0.8333333333333334,0.20030840419244383,2.0,0.5555555555555555,0.5091750772173156,1.0
PPO baseline,reward_change,0.14814814814814814,0.25660011963983365,2.0,0.1111111111111111,0.19245008972987526,0.3333333333333333
PPO baseline,transition_change,1.0,0.0,2.0,1.0,0.0,1.0
PPO LR/10 (fix #1),obs_remap,0.2777777777777778,0.4811252243246882,6.0,0.3333333333333333,0.5773502691896258,0.3333333333333333
PPO LR/10 (fix #1),obs_visual,1.0,0.0,2.0,1.0,0.0,1.0
PPO LR/10 (fix #1),reward_change,0.3148148148148148,0.5452752542346465,4.0,0.3333333333333333,0.5773502691896258,0.3333333333333333
PPO LR/10 (fix #1),transition_change,1.0,0.0,2.0,1.0,0.0,1.0
SR-full baseline,obs_remap,0.07575757575757576,0.06943296507508848,35.0,0.1111111111111111,0.19245008972987526,0.6666666666666666
SR-full baseline,obs_visual,0.07575757575757576,0.09462118179391513,10.0,0.0,0.0,0.6666666666666666
SR-full baseline,reward_change,0.12121212121212122,0.17208813169091738,5.0,0.0,0.0,0.6666666666666666
SR-full baseline,transition_change,0.13636363636363635,0.12026142323020866,10.0,0.0,0.0,1.0
SR w-only baseline,reward_change,0.37878787878787873,0.5422887929749478,5.0,0.3333333333333333,0.5773502691896258,0.6666666666666666
SR-full Q-margin (#2),obs_remap,0.0,0.0,,0.0,0.0,0.0
SR-full Q-margin (#2),obs_visual,0.0,0.0,,0.0,0.0,0.0
SR-full Q-margin (#2),reward_change,0.0,0.0,,0.0,0.0,0.0
SR-full Q-margin (#2),transition_change,0.0,0.0,,0.0,0.0,0.0
SR w-only Q-margin,reward_change,0.0,0.0,,0.0,0.0,0.0
SR-AC full (fix #3),obs_remap,0.2878787878787879,0.2049658978555861,40.0,0.5555555555555555,0.19245008972987526,1.0
SR-AC full (fix #3),obs_visual,0.25757575757575757,0.2148098011933004,10.0,0.0,0.0,1.0
SR-AC full (fix #3),reward_change,0.5757575757575757,0.22422194828710218,15.0,0.8888888888888888,0.19245008972987526,1.0
SR-AC full (fix #3),transition_change,0.3181818181818182,0.28386354538174535,15.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
SR-AC w-only (#3),reward_change,0.10606060606060606,0.11439143083743558,10.0,0.0,0.0,0.6666666666666666
Replay baseline,obs_remap,0.29545454545454547,0.4178358252465963,25.0,0.5,0.7071067811865476,0.5
Replay baseline,obs_visual,0.9848484848484849,0.026243194054073875,5.0,1.0,0.0,1.0
Replay baseline,reward_change,0.43939393939393945,0.18924236358783025,25.0,0.7777777777777777,0.3849001794597505,1.0
Replay baseline,transition_change,0.9696969696969697,0.026243194054073875,5.0,1.0,0.0,1.0
